,id,uri,events,agent,predicate,patients,text
8,17008,http://en.wikinews.org/wiki/Blair_ally_Lord_Levy_arrested,Blair_ally_Lord_Levy_arrested#ev27,Tony_Blair,sell,peerages+%28,"The cash-for-peerages affair erupted earlier this year, after an independent body reported that Tony Blair had sold peerages (the title of Lord) to businessmen in exchange for secret donations to the Labour Party."
9,17008,http://en.wikinews.org/wiki/Blair_ally_Lord_Levy_arrested,Blair_ally_Lord_Levy_arrested#ev28,Tony_Blair,exchange,to+businessmen,"The cash-for-peerages affair erupted earlier this year, after an independent body reported that Tony Blair had sold peerages (the title of Lord) to businessmen in exchange for secret donations to the Labour Party."
10,17008,http://en.wikinews.org/wiki/Blair_ally_Lord_Levy_arrested,Blair_ally_Lord_Levy_arrested#ev27,Tony_Blair,sell,peerages+%28,This potentially breaks the Honours (Prevention of Abuses) Act of 1925 which was originally introduced after Prime Minister Lloyd George was caught selling peerages for personal funds.
0,17009,http://en.wikinews.org/wiki/Blair_agrees_Iraq_is_a_disaster,Blair_agrees_Iraq_is_a_disaster#ev11,the+uk+radio+broadcaster,broadcast,a+series+of+weekly+interviews,"In the first episode of ""Frost over the World"", a series of weekly interviews broadcast on Al Jazeera English in Britain by Sky TV, Frost asserted that ""Iraq had been pretty much of a disaster from the start""."
1,17009,http://en.wikinews.org/wiki/Blair_agrees_Iraq_is_a_disaster,90_days_detention_still_on_Blair's_agenda#ev73,10_Downing_Street,say,it+is+n%27t+a+cause,"Responding, Blair said difficulties arose from ""a deliberate strategy with al-Qaeda with Sunni insurgents on one hand, Iranian-backed elements with Shia militias on the other, to create a situation in which the will of the majority for peace is displaced by the will of the minority for war""."
2,17009,http://en.wikinews.org/wiki/Blair_agrees_Iraq_is_a_disaster,Blair_agrees_Iraq_is_a_disaster#ev29,veteran+broadcast+journalist+sir+david+frost,interview,british+prime+minister+tony+blair,Veteran broadcast journalist Sir David Frost recently interviewed British Prime Minister Tony Blair for Al Jazeera English.
3,17009,http://en.wikinews.org/wiki/Blair_agrees_Iraq_is_a_disaster,Blair_agrees_Iraq_is_a_disaster#ev21,of+the+minority+for+war,displace,of+the+majority+for+peace,"Responding, Blair said difficulties arose from ""a deliberate strategy with al-Qaeda with Sunni insurgents on one hand, Iranian-backed elements with Shia militias on the other, to create a situation in which the will of the majority for peace is displaced by the will of the minority for war""."
4,17009,http://en.wikinews.org/wiki/Blair_agrees_Iraq_is_a_disaster,90_days_detention_still_on_Blair's_agenda#ev73,10_Downing_Street,say,it+is+n%27t+a+cause,"In response, a Downing Street spokeswoman said that the Prime Minister had been misrepresented, and that, in responding to Frost, he had merely been acknowledging the question, not agreeing that Iraq was a disaster."
5,17009,http://en.wikinews.org/wiki/Blair_agrees_Iraq_is_a_disaster,90_days_detention_still_on_Blair's_agenda#ev73,10_Downing_Street,say,it+is+n%27t+a+cause,"She said it would be ""disingenuous to portray that as an admission""."
6,17009,http://en.wikinews.org/wiki/Blair_agrees_Iraq_is_a_disaster,Blair_agrees_Iraq_is_a_disaster#ev23,several+broadsheet+papers,headline,the+remark,"Despite that, several broadsheet papers headlined the remark as an admission that Iraq had been a disaster and Sir Menzies Campbell, leader of the UK Liberal Democrat Party, demanded that Blair should now apologise."
7,17009,http://en.wikinews.org/wiki/Blair_agrees_Iraq_is_a_disaster,Blair_agrees_Iraq_is_a_disaster#ev40,several+broadsheet+papers,remark,the+remark,"Despite that, several broadsheet papers headlined the remark as an admission that Iraq had been a disaster and Sir Menzies Campbell, leader of the UK Liberal Democrat Party, demanded that Blair should now apologise."
0,17010,http://en.wikinews.org/wiki/Blair:_G8_leaders_announce_$50_billion_aid_increase;_talks_on_trade_and_climate_change,Blair:_G8_leaders_announce_$50_billion_aid_increase;_talks_on_trade_and_climate_change#ev83,Tony_Blair,plan,by+borrowing+against+future+aid+budgets,"The US, Germany and Italy rejected a plan by Blair to double aid immediately by borrowing against future aid budgets."
1,17010,http://en.wikinews.org/wiki/Blair:_G8_leaders_announce_$50_billion_aid_increase;_talks_on_trade_and_climate_change,British_police_gun_down_23-year-old_in_terror_raid#ev46,Muhammad,say,british+prime+minister+tony+blair,"""It isn't all everyone wanted, but it is progress - real and achievable progress."
2,17010,http://en.wikinews.org/wiki/Blair:_G8_leaders_announce_$50_billion_aid_increase;_talks_on_trade_and_climate_change,British_police_gun_down_23-year-old_in_terror_raid#ev46,Muhammad,say,british+prime+minister+tony+blair,"Campaigners have welcomed the news, but have said that it does not go far enough, falling short of the hopes of the people who had embraced the Live 8 and Make Poverty History drives."
3,17010,http://en.wikinews.org/wiki/Blair:_G8_leaders_announce_$50_billion_aid_increase;_talks_on_trade_and_climate_change,Blair:_G8_leaders_announce_$50_billion_aid_increase;_talks_on_trade_and_climate_change#ev92,the+make+poverty+history,read,this+evening,"""But more action is urgently needed if they are to play their role in bringing about real change for the world's poorest people."""
4,17010,http://en.wikinews.org/wiki/Blair:_G8_leaders_announce_$50_billion_aid_increase;_talks_on_trade_and_climate_change,Blair:_G8_leaders_announce_$50_billion_aid_increase;_talks_on_trade_and_climate_change#ev67,the+leaders,end,to+end+farm+subsidies,The leaders also pledged to end farm subsidies - but did not say by when.
5,17010,http://en.wikinews.org/wiki/Blair:_G8_leaders_announce_$50_billion_aid_increase;_talks_on_trade_and_climate_change,British_police_gun_down_23-year-old_in_terror_raid#ev46,Muhammad,say,british+prime+minister+tony+blair,"However, they called for talks on trade liberalisation to reach a conclusion by the end of 2006."
6,17010,http://en.wikinews.org/wiki/Blair:_G8_leaders_announce_$50_billion_aid_increase;_talks_on_trade_and_climate_change,Blair:_G8_leaders_announce_$50_billion_aid_increase;_talks_on_trade_and_climate_change#ev68,talks+on+trade+liberalisation,reach,a+conclusion,"However, they called for talks on trade liberalisation to reach a conclusion by the end of 2006."
7,17010,http://en.wikinews.org/wiki/Blair:_G8_leaders_announce_$50_billion_aid_increase;_talks_on_trade_and_climate_change,Blair:_G8_leaders_announce_$50_billion_aid_increase;_talks_on_trade_and_climate_change#ev98,the+g8,announce,Palestinian_National_Authority,The G8 have also announced a $3 billion aid package for the Palestinian Authority.
8,17010,http://en.wikinews.org/wiki/Blair:_G8_leaders_announce_$50_billion_aid_increase;_talks_on_trade_and_climate_change,British_police_gun_down_23-year-old_in_terror_raid#ev46,Muhammad,say,british+prime+minister+tony+blair,"The Prime Minster said ""We speak today in the shadow of terrorism but it will not obscure what we came here to achieve."""
9,17010,http://en.wikinews.org/wiki/Blair:_G8_leaders_announce_$50_billion_aid_increase;_talks_on_trade_and_climate_change,British_police_gun_down_23-year-old_in_terror_raid#ev46,Muhammad,say,british+prime+minister+tony+blair,"Among the decisions made was a commitment to another $48 billion (Â£28.8 billion) per year by 2010 in aid which Blair says can indeed, in time and if properly seen through, will make ""very substantial progress"" towards ""making poverty history""."
10,17010,http://en.wikinews.org/wiki/Blair:_G8_leaders_announce_$50_billion_aid_increase;_talks_on_trade_and_climate_change,Blair:_G8_leaders_announce_$50_billion_aid_increase;_talks_on_trade_and_climate_change#ev31,african+economies,absorb,so+much+aid,"Some analysts have raised fears that African economies will not be able to absorb so much aid so quickly, and that the money could fuel corruption."
0,17012,"http://en.wikinews.org/wiki/Blair,_Brown_promise_an_extra_%c2%a3540_milllion_to_Pakistan,_Iraq","Blair,_Brown_promise_an_extra_%c2%a3540_milllion_to_Pakistan,_Iraq#ev20",Brown_University,help,rebuild+the+economy,"Also this weekend, Chancellor Brown promised an extra £100m ($188m) to Iraq to ""help rebuild the economy""."
1,17012,"http://en.wikinews.org/wiki/Blair,_Brown_promise_an_extra_%c2%a3540_milllion_to_Pakistan,_Iraq",Britain_expects_troops_out_of_Iraq_within_next_4_years#ev46,Tony_Blair,meet,George_W._Bush,"Tony Blair expects to meet the President of Pakistan, Pervez Musharraf and Pakistan's Prime Minister Shaukat Aziz to discuss anti-terrorism measures and the radicalisation of youth."
2,17012,"http://en.wikinews.org/wiki/Blair,_Brown_promise_an_extra_%c2%a3540_milllion_to_Pakistan,_Iraq",Britain_expects_troops_out_of_Iraq_within_next_4_years#ev46,Tony_Blair,meet,George_W._Bush,"Gordon Brown met some of the 7,000 British troops deployed in the theatre and said he hoped to see troop reduction in the next few months."
3,17012,"http://en.wikinews.org/wiki/Blair,_Brown_promise_an_extra_%c2%a3540_milllion_to_Pakistan,_Iraq",90_days_detention_still_on_Blair's_agenda#ev73,10_Downing_Street,say,it+is+n%27t+a+cause,"Gordon Brown met some of the 7,000 British troops deployed in the theatre and said he hoped to see troop reduction in the next few months."
4,17012,"http://en.wikinews.org/wiki/Blair,_Brown_promise_an_extra_%c2%a3540_milllion_to_Pakistan,_Iraq",Britain_expects_troops_out_of_Iraq_within_next_4_years#ev46,Tony_Blair,meet,George_W._Bush,He also met Iraqi deputy prime minister Barham Saleh and some senior Iraqi ministers and discussed the economy with them.
5,17012,"http://en.wikinews.org/wiki/Blair,_Brown_promise_an_extra_%c2%a3540_milllion_to_Pakistan,_Iraq","Blair,_Brown_promise_an_extra_%c2%a3540_milllion_to_Pakistan,_Iraq#ev21",Brown_University,visit,Iraq,This is Brown's first visit to Iraq and it is seen as part of a programme to establish his credentials as Blair's successor.
0,17013,"http://en.wikinews.org/wiki/Blair,_Ahern_unveil_plan_for_Northern_Ireland_devolution","Blair,_Ahern_unveil_plan_for_Northern_Ireland_devolution#ev128",the+parties,find,a+different+way+forward,"His verdict on the plan was, ""If the parties really can't find a way forward, we have to call a halt and find a different way forward."""
1,17013,"http://en.wikinews.org/wiki/Blair,_Ahern_unveil_plan_for_Northern_Ireland_devolution","Blair,_Ahern_unveil_plan_for_Northern_Ireland_devolution#ev64",the+parties,way,a+way+forward,"His verdict on the plan was, ""If the parties really can't find a way forward, we have to call a halt and find a different way forward."""
2,17013,"http://en.wikinews.org/wiki/Blair,_Ahern_unveil_plan_for_Northern_Ireland_devolution","Blair,_Ahern_unveil_plan_for_Northern_Ireland_devolution#ev128",the+parties,find,a+different+way+forward,"His verdict on the plan was, ""If the parties really can't find a way forward, we have to call a halt and find a different way forward."""
3,17013,"http://en.wikinews.org/wiki/Blair,_Ahern_unveil_plan_for_Northern_Ireland_devolution","Blair,_Ahern_unveil_plan_for_Northern_Ireland_devolution#ev64",the+parties,way,a+way+forward,"His verdict on the plan was, ""If the parties really can't find a way forward, we have to call a halt and find a different way forward."""
4,17013,"http://en.wikinews.org/wiki/Blair,_Ahern_unveil_plan_for_Northern_Ireland_devolution","Blair,_Ahern_unveil_plan_for_Northern_Ireland_devolution#ev147",Mark_Durkan,say,Northern_Ireland_Assembly,"Ian Paisley, the leader of the Democratic Unionist Party said ""The DUP will not be forced, rushed or bullied into accepting any level of IRA criminality."
5,17013,"http://en.wikinews.org/wiki/Blair,_Ahern_unveil_plan_for_Northern_Ireland_devolution","Blair,_Ahern_unveil_plan_for_Northern_Ireland_devolution#ev44",Sinn_Féin,give,six+weeks,"Currently there is no evidence that Sinn Fein/IRA will be any further advanced in giving up criminality in November."""
6,17013,"http://en.wikinews.org/wiki/Blair,_Ahern_unveil_plan_for_Northern_Ireland_devolution","Blair,_Ahern_unveil_plan_for_Northern_Ireland_devolution#ev141",Paisley,denounce,the+involvement+of+the+irish+government,"Paisley also denounced the involvement of the Irish government, saying, ""This part of the UK is not really a part of the UK but is a part of the UK where a foreign government has more say over Northern Ireland than the people of Northern Ireland."""
7,17013,"http://en.wikinews.org/wiki/Blair,_Ahern_unveil_plan_for_Northern_Ireland_devolution","Blair,_Ahern_unveil_plan_for_Northern_Ireland_devolution#ev147",Mark_Durkan,say,Northern_Ireland_Assembly,"Paisley also denounced the involvement of the Irish government, saying, ""This part of the UK is not really a part of the UK but is a part of the UK where a foreign government has more say over Northern Ireland than the people of Northern Ireland."""
8,17013,"http://en.wikinews.org/wiki/Blair,_Ahern_unveil_plan_for_Northern_Ireland_devolution","Blair,_Ahern_unveil_plan_for_Northern_Ireland_devolution#ev147",Mark_Durkan,say,Northern_Ireland_Assembly,"Paisley also denounced the involvement of the Irish government, saying, ""This part of the UK is not really a part of the UK but is a part of the UK where a foreign government has more say over Northern Ireland than the people of Northern Ireland."""
9,17013,"http://en.wikinews.org/wiki/Blair,_Ahern_unveil_plan_for_Northern_Ireland_devolution","Blair,_Ahern_unveil_plan_for_Northern_Ireland_devolution#ev147",Mark_Durkan,say,Northern_Ireland_Assembly,"Gerry Adams, the President of Sinn Fein, said that the statement contained ""negatives and positives."""
10,17013,"http://en.wikinews.org/wiki/Blair,_Ahern_unveil_plan_for_Northern_Ireland_devolution","Blair,_Ahern_unveil_plan_for_Northern_Ireland_devolution#ev74",the+statement,contain,negatives+and+positives,"Gerry Adams, the President of Sinn Fein, said that the statement contained ""negatives and positives."""
11,17013,"http://en.wikinews.org/wiki/Blair,_Ahern_unveil_plan_for_Northern_Ireland_devolution","Blair,_Ahern_unveil_plan_for_Northern_Ireland_devolution#ev147",Mark_Durkan,say,Northern_Ireland_Assembly,"It appears that they [the two governments] are saying to the DUP, 'If you don't come on board, we are going to go ahead without you.'"
12,17013,"http://en.wikinews.org/wiki/Blair,_Ahern_unveil_plan_for_Northern_Ireland_devolution","Blair,_Ahern_unveil_plan_for_Northern_Ireland_devolution#ev44",Sinn_Féin,give,six+weeks,The plan calls for the Northern Ireland Assembly's members to be recalled on May 15 and given six weeks to form an executive.
13,17013,"http://en.wikinews.org/wiki/Blair,_Ahern_unveil_plan_for_Northern_Ireland_devolution","Blair,_Ahern_unveil_plan_for_Northern_Ireland_devolution#ev150",direct+rule,decision,ReviewofPublicAdministration,"""

The leader of the Ulster Unionist Party, Sir Reg Empey's response was, ""We urgently need to have an input into, and make changes to, direct rule decisions on education, water rates and the Review of Public Administration, to name but three."
14,17013,"http://en.wikinews.org/wiki/Blair,_Ahern_unveil_plan_for_Northern_Ireland_devolution","Blair,_Ahern_unveil_plan_for_Northern_Ireland_devolution#ev147",Mark_Durkan,say,Northern_Ireland_Assembly,"Empey was also critical of the DUP's statement, saying, ""We have been told by the Democratic Unionist Party that the Belfast agreement was binned, consigned to the dustbin of history."
15,17013,"http://en.wikinews.org/wiki/Blair,_Ahern_unveil_plan_for_Northern_Ireland_devolution","Blair,_Ahern_unveil_plan_for_Northern_Ireland_devolution#ev147",Mark_Durkan,tell,Northern_Ireland_Assembly,"Empey was also critical of the DUP's statement, saying, ""We have been told by the Democratic Unionist Party that the Belfast agreement was binned, consigned to the dustbin of history."
16,17013,"http://en.wikinews.org/wiki/Blair,_Ahern_unveil_plan_for_Northern_Ireland_devolution","Blair,_Ahern_unveil_plan_for_Northern_Ireland_devolution#ev147",Mark_Durkan,say,Northern_Ireland_Assembly,"The SDLP's Mark Durkan said, ""All we have today is an 11-paragraph announcement that tells us less rather than more."
17,17013,"http://en.wikinews.org/wiki/Blair,_Ahern_unveil_plan_for_Northern_Ireland_devolution","Blair,_Ahern_unveil_plan_for_Northern_Ireland_devolution#ev147",Mark_Durkan,tell,Northern_Ireland_Assembly,That's why the SDLP will need to see the legislation that follows it.
18,17013,"http://en.wikinews.org/wiki/Blair,_Ahern_unveil_plan_for_Northern_Ireland_devolution","Blair,_Ahern_unveil_plan_for_Northern_Ireland_devolution#ev116",Social_Democratic_and_Labour_Party,need,the+legislation+that+follows+it,That's why the SDLP will need to see the legislation that follows it.
19,17013,"http://en.wikinews.org/wiki/Blair,_Ahern_unveil_plan_for_Northern_Ireland_devolution","Blair,_Ahern_unveil_plan_for_Northern_Ireland_devolution#ev159",Social_Democratic_and_Labour_Party,see,the+legislation+that+follows+it,"It may be better â€” or indeed worse."""
20,17013,"http://en.wikinews.org/wiki/Blair,_Ahern_unveil_plan_for_Northern_Ireland_devolution","Blair,_Ahern_unveil_plan_for_Northern_Ireland_devolution#ev94",Northern_Ireland_Assembly,take,control+of+their+future,"United States President George W. Bush issued a statement saying, ""Today is an opportunity for all in Northern Ireland to take control of their future and bring the political process to a successful completion this year."""
