,agent,patient,word_start_char,word_end_char,classification,article_uri
28,Freemasonry,the study,205,207,False,"http://en.wikinews.org/wiki/Zoo_elephants_live_shorter_lives_than_their_wild_counterparts,_report_warns"
29,Freemasonry,the study,208,216,False,"http://en.wikinews.org/wiki/Zoo_elephants_live_shorter_lives_than_their_wild_counterparts,_report_warns"
30,Freemasonry,the study,217,222,False,"http://en.wikinews.org/wiki/Zoo_elephants_live_shorter_lives_than_their_wild_counterparts,_report_warns"
31,Freemasonry,the study,223,226,False,"http://en.wikinews.org/wiki/Zoo_elephants_live_shorter_lives_than_their_wild_counterparts,_report_warns"
32,Freemasonry,the study,227,229,False,"http://en.wikinews.org/wiki/Zoo_elephants_live_shorter_lives_than_their_wild_counterparts,_report_warns"
33,Freemasonry,the study,230,236,False,"http://en.wikinews.org/wiki/Zoo_elephants_live_shorter_lives_than_their_wild_counterparts,_report_warns"
34,Freemasonry,the study,237,241,False,"http://en.wikinews.org/wiki/Zoo_elephants_live_shorter_lives_than_their_wild_counterparts,_report_warns"
35,Freemasonry,the study,242,251,False,"http://en.wikinews.org/wiki/Zoo_elephants_live_shorter_lives_than_their_wild_counterparts,_report_warns"
36,Freemasonry,the study,252,261,False,"http://en.wikinews.org/wiki/Zoo_elephants_live_shorter_lives_than_their_wild_counterparts,_report_warns"
37,Freemasonry,the study,262,266,False,"http://en.wikinews.org/wiki/Zoo_elephants_live_shorter_lives_than_their_wild_counterparts,_report_warns"
38,Freemasonry,the study,267,271,False,"http://en.wikinews.org/wiki/Zoo_elephants_live_shorter_lives_than_their_wild_counterparts,_report_warns"
39,Freemasonry,the study,272,282,False,"http://en.wikinews.org/wiki/Zoo_elephants_live_shorter_lives_than_their_wild_counterparts,_report_warns"
40,Freemasonry,the study,283,290,False,"http://en.wikinews.org/wiki/Zoo_elephants_live_shorter_lives_than_their_wild_counterparts,_report_warns"
41,Freemasonry,the study,291,296,False,"http://en.wikinews.org/wiki/Zoo_elephants_live_shorter_lives_than_their_wild_counterparts,_report_warns"
42,Freemasonry,the study,297,308,False,"http://en.wikinews.org/wiki/Zoo_elephants_live_shorter_lives_than_their_wild_counterparts,_report_warns"
43,Freemasonry,the study,309,316,False,"http://en.wikinews.org/wiki/Zoo_elephants_live_shorter_lives_than_their_wild_counterparts,_report_warns"
44,Freemasonry,the study,317,319,False,"http://en.wikinews.org/wiki/Zoo_elephants_live_shorter_lives_than_their_wild_counterparts,_report_warns"
45,Freemasonry,the study,320,326,False,"http://en.wikinews.org/wiki/Zoo_elephants_live_shorter_lives_than_their_wild_counterparts,_report_warns"
46,Freemasonry,the study,327,330,False,"http://en.wikinews.org/wiki/Zoo_elephants_live_shorter_lives_than_their_wild_counterparts,_report_warns"
47,Freemasonry,the study,331,335,True,"http://en.wikinews.org/wiki/Zoo_elephants_live_shorter_lives_than_their_wild_counterparts,_report_warns"
48,Freemasonry,the study,336,339,False,"http://en.wikinews.org/wiki/Zoo_elephants_live_shorter_lives_than_their_wild_counterparts,_report_warns"
49,Freemasonry,the study,340,346,False,"http://en.wikinews.org/wiki/Zoo_elephants_live_shorter_lives_than_their_wild_counterparts,_report_warns"
50,Freemasonry,the study,347,351,False,"http://en.wikinews.org/wiki/Zoo_elephants_live_shorter_lives_than_their_wild_counterparts,_report_warns"
51,Freemasonry,the study,352,358,False,"http://en.wikinews.org/wiki/Zoo_elephants_live_shorter_lives_than_their_wild_counterparts,_report_warns"
52,Freemasonry,the study,359,363,False,"http://en.wikinews.org/wiki/Zoo_elephants_live_shorter_lives_than_their_wild_counterparts,_report_warns"
53,Freemasonry,the study,364,368,False,"http://en.wikinews.org/wiki/Zoo_elephants_live_shorter_lives_than_their_wild_counterparts,_report_warns"
54,Freemasonry,the study,369,371,False,"http://en.wikinews.org/wiki/Zoo_elephants_live_shorter_lives_than_their_wild_counterparts,_report_warns"
55,Freemasonry,the study,372,375,False,"http://en.wikinews.org/wiki/Zoo_elephants_live_shorter_lives_than_their_wild_counterparts,_report_warns"
56,Freemasonry,the study,376,380,False,"http://en.wikinews.org/wiki/Zoo_elephants_live_shorter_lives_than_their_wild_counterparts,_report_warns"
57,Freemasonry,the study,381,383,False,"http://en.wikinews.org/wiki/Zoo_elephants_live_shorter_lives_than_their_wild_counterparts,_report_warns"
58,Freemasonry,the study,384,391,False,"http://en.wikinews.org/wiki/Zoo_elephants_live_shorter_lives_than_their_wild_counterparts,_report_warns"
59,Freemasonry,the study,392,395,False,"http://en.wikinews.org/wiki/Zoo_elephants_live_shorter_lives_than_their_wild_counterparts,_report_warns"
60,Freemasonry,the study,396,400,False,"http://en.wikinews.org/wiki/Zoo_elephants_live_shorter_lives_than_their_wild_counterparts,_report_warns"
61,Freemasonry,the study,401,403,False,"http://en.wikinews.org/wiki/Zoo_elephants_live_shorter_lives_than_their_wild_counterparts,_report_warns"
62,Freemasonry,the study,404,411,False,"http://en.wikinews.org/wiki/Zoo_elephants_live_shorter_lives_than_their_wild_counterparts,_report_warns"
63,Freemasonry,the study,412,421,False,"http://en.wikinews.org/wiki/Zoo_elephants_live_shorter_lives_than_their_wild_counterparts,_report_warns"
64,Freemasonry,the study,422,424,False,"http://en.wikinews.org/wiki/Zoo_elephants_live_shorter_lives_than_their_wild_counterparts,_report_warns"
65,Freemasonry,the study,425,435,False,"http://en.wikinews.org/wiki/Zoo_elephants_live_shorter_lives_than_their_wild_counterparts,_report_warns"
66,Freemasonry,the study,436,444,False,"http://en.wikinews.org/wiki/Zoo_elephants_live_shorter_lives_than_their_wild_counterparts,_report_warns"
67,Freemasonry,the study,445,447,False,"http://en.wikinews.org/wiki/Zoo_elephants_live_shorter_lives_than_their_wild_counterparts,_report_warns"
68,Freemasonry,the study,448,451,False,"http://en.wikinews.org/wiki/Zoo_elephants_live_shorter_lives_than_their_wild_counterparts,_report_warns"
69,Freemasonry,the study,452,461,False,"http://en.wikinews.org/wiki/Zoo_elephants_live_shorter_lives_than_their_wild_counterparts,_report_warns"
70,Freemasonry,the study,462,466,False,"http://en.wikinews.org/wiki/Zoo_elephants_live_shorter_lives_than_their_wild_counterparts,_report_warns"
71,Freemasonry,the study,467,474,False,"http://en.wikinews.org/wiki/Zoo_elephants_live_shorter_lives_than_their_wild_counterparts,_report_warns"
72,Freemasonry,the study,475,477,False,"http://en.wikinews.org/wiki/Zoo_elephants_live_shorter_lives_than_their_wild_counterparts,_report_warns"
73,Freemasonry,the study,478,481,False,"http://en.wikinews.org/wiki/Zoo_elephants_live_shorter_lives_than_their_wild_counterparts,_report_warns"
74,Freemasonry,the study,482,488,False,"http://en.wikinews.org/wiki/Zoo_elephants_live_shorter_lives_than_their_wild_counterparts,_report_warns"
75,Freemasonry,the study,489,495,False,"http://en.wikinews.org/wiki/Zoo_elephants_live_shorter_lives_than_their_wild_counterparts,_report_warns"
76,Freemasonry,the study,496,500,False,"http://en.wikinews.org/wiki/Zoo_elephants_live_shorter_lives_than_their_wild_counterparts,_report_warns"
77,Freemasonry,the study,501,506,False,"http://en.wikinews.org/wiki/Zoo_elephants_live_shorter_lives_than_their_wild_counterparts,_report_warns"
78,Freemasonry,the study,507,509,False,"http://en.wikinews.org/wiki/Zoo_elephants_live_shorter_lives_than_their_wild_counterparts,_report_warns"
79,Freemasonry,the study,510,514,False,"http://en.wikinews.org/wiki/Zoo_elephants_live_shorter_lives_than_their_wild_counterparts,_report_warns"
80,Freemasonry,the study,515,520,False,"http://en.wikinews.org/wiki/Zoo_elephants_live_shorter_lives_than_their_wild_counterparts,_report_warns"
81,Freemasonry,the study,521,525,False,"http://en.wikinews.org/wiki/Zoo_elephants_live_shorter_lives_than_their_wild_counterparts,_report_warns"
82,Freemasonry,the study,526,527,False,"http://en.wikinews.org/wiki/Zoo_elephants_live_shorter_lives_than_their_wild_counterparts,_report_warns"
83,Freemasonry,the study,528,533,False,"http://en.wikinews.org/wiki/Zoo_elephants_live_shorter_lives_than_their_wild_counterparts,_report_warns"
84,Freemasonry,the study,534,540,False,"http://en.wikinews.org/wiki/Zoo_elephants_live_shorter_lives_than_their_wild_counterparts,_report_warns"
85,Freemasonry,the study,541,543,False,"http://en.wikinews.org/wiki/Zoo_elephants_live_shorter_lives_than_their_wild_counterparts,_report_warns"
86,Freemasonry,the study,544,556,False,"http://en.wikinews.org/wiki/Zoo_elephants_live_shorter_lives_than_their_wild_counterparts,_report_warns"
87,Freemasonry,the study,557,567,False,"http://en.wikinews.org/wiki/Zoo_elephants_live_shorter_lives_than_their_wild_counterparts,_report_warns"
88,Freemasonry,the study,568,574,False,"http://en.wikinews.org/wiki/Zoo_elephants_live_shorter_lives_than_their_wild_counterparts,_report_warns"
89,Freemasonry,the study,575,577,False,"http://en.wikinews.org/wiki/Zoo_elephants_live_shorter_lives_than_their_wild_counterparts,_report_warns"
90,Freemasonry,the study,578,588,False,"http://en.wikinews.org/wiki/Zoo_elephants_live_shorter_lives_than_their_wild_counterparts,_report_warns"
91,Freemasonry,the study,589,596,False,"http://en.wikinews.org/wiki/Zoo_elephants_live_shorter_lives_than_their_wild_counterparts,_report_warns"
92,Freemasonry,the study,597,600,False,"http://en.wikinews.org/wiki/Zoo_elephants_live_shorter_lives_than_their_wild_counterparts,_report_warns"
93,Freemasonry,the study,601,605,False,"http://en.wikinews.org/wiki/Zoo_elephants_live_shorter_lives_than_their_wild_counterparts,_report_warns"
94,Freemasonry,the study,606,607,False,"http://en.wikinews.org/wiki/Zoo_elephants_live_shorter_lives_than_their_wild_counterparts,_report_warns"
95,Freemasonry,the study,608,618,False,"http://en.wikinews.org/wiki/Zoo_elephants_live_shorter_lives_than_their_wild_counterparts,_report_warns"
96,Freemasonry,the study,619,627,False,"http://en.wikinews.org/wiki/Zoo_elephants_live_shorter_lives_than_their_wild_counterparts,_report_warns"
97,Freemasonry,the study,628,650,False,"http://en.wikinews.org/wiki/Zoo_elephants_live_shorter_lives_than_their_wild_counterparts,_report_warns"
98,Freemasonry,the study,651,655,False,"http://en.wikinews.org/wiki/Zoo_elephants_live_shorter_lives_than_their_wild_counterparts,_report_warns"
99,Freemasonry,the study,656,659,False,"http://en.wikinews.org/wiki/Zoo_elephants_live_shorter_lives_than_their_wild_counterparts,_report_warns"
100,Freemasonry,the study,660,669,False,"http://en.wikinews.org/wiki/Zoo_elephants_live_shorter_lives_than_their_wild_counterparts,_report_warns"
101,Freemasonry,the study,670,676,False,"http://en.wikinews.org/wiki/Zoo_elephants_live_shorter_lives_than_their_wild_counterparts,_report_warns"
102,Freemasonry,the study,677,681,False,"http://en.wikinews.org/wiki/Zoo_elephants_live_shorter_lives_than_their_wild_counterparts,_report_warns"
103,Freemasonry,the study,682,691,False,"http://en.wikinews.org/wiki/Zoo_elephants_live_shorter_lives_than_their_wild_counterparts,_report_warns"
104,Freemasonry,the study,692,694,False,"http://en.wikinews.org/wiki/Zoo_elephants_live_shorter_lives_than_their_wild_counterparts,_report_warns"
105,Freemasonry,the study,695,706,False,"http://en.wikinews.org/wiki/Zoo_elephants_live_shorter_lives_than_their_wild_counterparts,_report_warns"
106,Freemasonry,the study,707,712,False,"http://en.wikinews.org/wiki/Zoo_elephants_live_shorter_lives_than_their_wild_counterparts,_report_warns"
107,Freemasonry,the study,713,719,False,"http://en.wikinews.org/wiki/Zoo_elephants_live_shorter_lives_than_their_wild_counterparts,_report_warns"
108,Freemasonry,the study,720,723,False,"http://en.wikinews.org/wiki/Zoo_elephants_live_shorter_lives_than_their_wild_counterparts,_report_warns"
109,Freemasonry,the study,724,728,False,"http://en.wikinews.org/wiki/Zoo_elephants_live_shorter_lives_than_their_wild_counterparts,_report_warns"
110,Freemasonry,the study,729,735,False,"http://en.wikinews.org/wiki/Zoo_elephants_live_shorter_lives_than_their_wild_counterparts,_report_warns"
111,Freemasonry,the study,736,739,False,"http://en.wikinews.org/wiki/Zoo_elephants_live_shorter_lives_than_their_wild_counterparts,_report_warns"
112,Freemasonry,the study,740,746,False,"http://en.wikinews.org/wiki/Zoo_elephants_live_shorter_lives_than_their_wild_counterparts,_report_warns"
113,Freemasonry,the study,747,765,False,"http://en.wikinews.org/wiki/Zoo_elephants_live_shorter_lives_than_their_wild_counterparts,_report_warns"
114,Freemasonry,the study,766,777,False,"http://en.wikinews.org/wiki/Zoo_elephants_live_shorter_lives_than_their_wild_counterparts,_report_warns"
115,Freemasonry,the study,778,780,False,"http://en.wikinews.org/wiki/Zoo_elephants_live_shorter_lives_than_their_wild_counterparts,_report_warns"
116,Freemasonry,the study,781,785,False,"http://en.wikinews.org/wiki/Zoo_elephants_live_shorter_lives_than_their_wild_counterparts,_report_warns"
117,Freemasonry,the study,786,789,False,"http://en.wikinews.org/wiki/Zoo_elephants_live_shorter_lives_than_their_wild_counterparts,_report_warns"
118,Freemasonry,the study,790,799,False,"http://en.wikinews.org/wiki/Zoo_elephants_live_shorter_lives_than_their_wild_counterparts,_report_warns"
119,Freemasonry,the study,800,810,False,"http://en.wikinews.org/wiki/Zoo_elephants_live_shorter_lives_than_their_wild_counterparts,_report_warns"
120,Freemasonry,the study,811,814,False,"http://en.wikinews.org/wiki/Zoo_elephants_live_shorter_lives_than_their_wild_counterparts,_report_warns"
121,Freemasonry,the study,815,824,False,"http://en.wikinews.org/wiki/Zoo_elephants_live_shorter_lives_than_their_wild_counterparts,_report_warns"
122,Freemasonry,the study,825,828,False,"http://en.wikinews.org/wiki/Zoo_elephants_live_shorter_lives_than_their_wild_counterparts,_report_warns"
123,Freemasonry,the study,829,843,False,"http://en.wikinews.org/wiki/Zoo_elephants_live_shorter_lives_than_their_wild_counterparts,_report_warns"
124,Freemasonry,the study,844,850,False,"http://en.wikinews.org/wiki/Zoo_elephants_live_shorter_lives_than_their_wild_counterparts,_report_warns"
125,Freemasonry,the study,851,855,False,"http://en.wikinews.org/wiki/Zoo_elephants_live_shorter_lives_than_their_wild_counterparts,_report_warns"
126,Freemasonry,the study,856,865,False,"http://en.wikinews.org/wiki/Zoo_elephants_live_shorter_lives_than_their_wild_counterparts,_report_warns"
127,Freemasonry,the study,866,869,False,"http://en.wikinews.org/wiki/Zoo_elephants_live_shorter_lives_than_their_wild_counterparts,_report_warns"
128,Freemasonry,the study,870,882,False,"http://en.wikinews.org/wiki/Zoo_elephants_live_shorter_lives_than_their_wild_counterparts,_report_warns"
129,Freemasonry,the study,883,886,False,"http://en.wikinews.org/wiki/Zoo_elephants_live_shorter_lives_than_their_wild_counterparts,_report_warns"
130,Freemasonry,the study,887,897,False,"http://en.wikinews.org/wiki/Zoo_elephants_live_shorter_lives_than_their_wild_counterparts,_report_warns"
131,Freemasonry,the study,898,902,False,"http://en.wikinews.org/wiki/Zoo_elephants_live_shorter_lives_than_their_wild_counterparts,_report_warns"
132,Freemasonry,the study,903,909,False,"http://en.wikinews.org/wiki/Zoo_elephants_live_shorter_lives_than_their_wild_counterparts,_report_warns"
133,Freemasonry,the study,910,919,False,"http://en.wikinews.org/wiki/Zoo_elephants_live_shorter_lives_than_their_wild_counterparts,_report_warns"
134,Freemasonry,the study,920,923,False,"http://en.wikinews.org/wiki/Zoo_elephants_live_shorter_lives_than_their_wild_counterparts,_report_warns"
135,Freemasonry,the study,924,932,False,"http://en.wikinews.org/wiki/Zoo_elephants_live_shorter_lives_than_their_wild_counterparts,_report_warns"
136,Freemasonry,the study,933,935,False,"http://en.wikinews.org/wiki/Zoo_elephants_live_shorter_lives_than_their_wild_counterparts,_report_warns"
137,Freemasonry,the study,936,945,False,"http://en.wikinews.org/wiki/Zoo_elephants_live_shorter_lives_than_their_wild_counterparts,_report_warns"
138,Freemasonry,the study,946,961,False,"http://en.wikinews.org/wiki/Zoo_elephants_live_shorter_lives_than_their_wild_counterparts,_report_warns"
139,Freemasonry,the study,962,966,False,"http://en.wikinews.org/wiki/Zoo_elephants_live_shorter_lives_than_their_wild_counterparts,_report_warns"
140,Freemasonry,the study,967,973,False,"http://en.wikinews.org/wiki/Zoo_elephants_live_shorter_lives_than_their_wild_counterparts,_report_warns"
141,Freemasonry,the study,974,978,False,"http://en.wikinews.org/wiki/Zoo_elephants_live_shorter_lives_than_their_wild_counterparts,_report_warns"
142,Freemasonry,the study,979,981,False,"http://en.wikinews.org/wiki/Zoo_elephants_live_shorter_lives_than_their_wild_counterparts,_report_warns"
143,Freemasonry,the study,982,985,False,"http://en.wikinews.org/wiki/Zoo_elephants_live_shorter_lives_than_their_wild_counterparts,_report_warns"
144,Freemasonry,the study,986,989,False,"http://en.wikinews.org/wiki/Zoo_elephants_live_shorter_lives_than_their_wild_counterparts,_report_warns"
145,Freemasonry,the study,990,998,False,"http://en.wikinews.org/wiki/Zoo_elephants_live_shorter_lives_than_their_wild_counterparts,_report_warns"
146,Freemasonry,the study,999,1002,False,"http://en.wikinews.org/wiki/Zoo_elephants_live_shorter_lives_than_their_wild_counterparts,_report_warns"
147,Freemasonry,the study,1003,1007,False,"http://en.wikinews.org/wiki/Zoo_elephants_live_shorter_lives_than_their_wild_counterparts,_report_warns"
148,Freemasonry,the study,1008,1012,False,"http://en.wikinews.org/wiki/Zoo_elephants_live_shorter_lives_than_their_wild_counterparts,_report_warns"
149,Freemasonry,the study,1013,1022,False,"http://en.wikinews.org/wiki/Zoo_elephants_live_shorter_lives_than_their_wild_counterparts,_report_warns"
150,Freemasonry,the study,1023,1027,False,"http://en.wikinews.org/wiki/Zoo_elephants_live_shorter_lives_than_their_wild_counterparts,_report_warns"
151,Freemasonry,the study,1028,1035,False,"http://en.wikinews.org/wiki/Zoo_elephants_live_shorter_lives_than_their_wild_counterparts,_report_warns"
152,Freemasonry,the study,1036,1040,False,"http://en.wikinews.org/wiki/Zoo_elephants_live_shorter_lives_than_their_wild_counterparts,_report_warns"
153,Freemasonry,the study,1041,1044,False,"http://en.wikinews.org/wiki/Zoo_elephants_live_shorter_lives_than_their_wild_counterparts,_report_warns"
154,Freemasonry,the study,1045,1047,False,"http://en.wikinews.org/wiki/Zoo_elephants_live_shorter_lives_than_their_wild_counterparts,_report_warns"
155,Freemasonry,the study,1048,1051,False,"http://en.wikinews.org/wiki/Zoo_elephants_live_shorter_lives_than_their_wild_counterparts,_report_warns"
156,Freemasonry,the study,1052,1057,False,"http://en.wikinews.org/wiki/Zoo_elephants_live_shorter_lives_than_their_wild_counterparts,_report_warns"
157,Freemasonry,the study,1058,1060,False,"http://en.wikinews.org/wiki/Zoo_elephants_live_shorter_lives_than_their_wild_counterparts,_report_warns"
158,Freemasonry,the study,1061,1067,False,"http://en.wikinews.org/wiki/Zoo_elephants_live_shorter_lives_than_their_wild_counterparts,_report_warns"
159,Freemasonry,the study,1068,1073,False,"http://en.wikinews.org/wiki/Zoo_elephants_live_shorter_lives_than_their_wild_counterparts,_report_warns"
160,Freemasonry,the study,1074,1077,False,"http://en.wikinews.org/wiki/Zoo_elephants_live_shorter_lives_than_their_wild_counterparts,_report_warns"
161,Freemasonry,the study,1078,1083,False,"http://en.wikinews.org/wiki/Zoo_elephants_live_shorter_lives_than_their_wild_counterparts,_report_warns"
162,Freemasonry,the study,1084,1095,False,"http://en.wikinews.org/wiki/Zoo_elephants_live_shorter_lives_than_their_wild_counterparts,_report_warns"
163,Freemasonry,the study,1096,1098,False,"http://en.wikinews.org/wiki/Zoo_elephants_live_shorter_lives_than_their_wild_counterparts,_report_warns"
164,Freemasonry,the study,1099,1104,False,"http://en.wikinews.org/wiki/Zoo_elephants_live_shorter_lives_than_their_wild_counterparts,_report_warns"
165,Freemasonry,the study,1105,1109,False,"http://en.wikinews.org/wiki/Zoo_elephants_live_shorter_lives_than_their_wild_counterparts,_report_warns"
166,Freemasonry,the study,1110,1114,False,"http://en.wikinews.org/wiki/Zoo_elephants_live_shorter_lives_than_their_wild_counterparts,_report_warns"
167,Freemasonry,the study,1115,1119,False,"http://en.wikinews.org/wiki/Zoo_elephants_live_shorter_lives_than_their_wild_counterparts,_report_warns"
168,Freemasonry,the study,1120,1129,False,"http://en.wikinews.org/wiki/Zoo_elephants_live_shorter_lives_than_their_wild_counterparts,_report_warns"
169,Freemasonry,the study,1130,1134,False,"http://en.wikinews.org/wiki/Zoo_elephants_live_shorter_lives_than_their_wild_counterparts,_report_warns"
170,Freemasonry,the study,1135,1144,False,"http://en.wikinews.org/wiki/Zoo_elephants_live_shorter_lives_than_their_wild_counterparts,_report_warns"
171,Freemasonry,the study,1145,1148,False,"http://en.wikinews.org/wiki/Zoo_elephants_live_shorter_lives_than_their_wild_counterparts,_report_warns"
172,Freemasonry,the study,1149,1157,False,"http://en.wikinews.org/wiki/Zoo_elephants_live_shorter_lives_than_their_wild_counterparts,_report_warns"
173,Freemasonry,the study,1158,1161,False,"http://en.wikinews.org/wiki/Zoo_elephants_live_shorter_lives_than_their_wild_counterparts,_report_warns"
174,Freemasonry,the study,1162,1167,False,"http://en.wikinews.org/wiki/Zoo_elephants_live_shorter_lives_than_their_wild_counterparts,_report_warns"
175,Freemasonry,the study,1168,1170,False,"http://en.wikinews.org/wiki/Zoo_elephants_live_shorter_lives_than_their_wild_counterparts,_report_warns"
176,Freemasonry,the study,1171,1174,False,"http://en.wikinews.org/wiki/Zoo_elephants_live_shorter_lives_than_their_wild_counterparts,_report_warns"
177,Freemasonry,the study,1175,1179,False,"http://en.wikinews.org/wiki/Zoo_elephants_live_shorter_lives_than_their_wild_counterparts,_report_warns"
178,Freemasonry,the study,1180,1182,False,"http://en.wikinews.org/wiki/Zoo_elephants_live_shorter_lives_than_their_wild_counterparts,_report_warns"
179,Freemasonry,the study,1183,1186,False,"http://en.wikinews.org/wiki/Zoo_elephants_live_shorter_lives_than_their_wild_counterparts,_report_warns"
180,Freemasonry,the study,1187,1193,False,"http://en.wikinews.org/wiki/Zoo_elephants_live_shorter_lives_than_their_wild_counterparts,_report_warns"
181,Freemasonry,the study,1194,1207,False,"http://en.wikinews.org/wiki/Zoo_elephants_live_shorter_lives_than_their_wild_counterparts,_report_warns"
182,Freemasonry,the study,1208,1219,False,"http://en.wikinews.org/wiki/Zoo_elephants_live_shorter_lives_than_their_wild_counterparts,_report_warns"
183,Freemasonry,the study,1220,1223,False,"http://en.wikinews.org/wiki/Zoo_elephants_live_shorter_lives_than_their_wild_counterparts,_report_warns"
184,Freemasonry,the study,1224,1227,False,"http://en.wikinews.org/wiki/Zoo_elephants_live_shorter_lives_than_their_wild_counterparts,_report_warns"
185,Freemasonry,the study,1228,1234,False,"http://en.wikinews.org/wiki/Zoo_elephants_live_shorter_lives_than_their_wild_counterparts,_report_warns"
186,Freemasonry,the study,1235,1239,False,"http://en.wikinews.org/wiki/Zoo_elephants_live_shorter_lives_than_their_wild_counterparts,_report_warns"
187,Freemasonry,the study,1240,1244,False,"http://en.wikinews.org/wiki/Zoo_elephants_live_shorter_lives_than_their_wild_counterparts,_report_warns"
188,Freemasonry,the study,1245,1258,False,"http://en.wikinews.org/wiki/Zoo_elephants_live_shorter_lives_than_their_wild_counterparts,_report_warns"
189,Freemasonry,the study,1259,1268,False,"http://en.wikinews.org/wiki/Zoo_elephants_live_shorter_lives_than_their_wild_counterparts,_report_warns"
190,Freemasonry,the study,1269,1272,False,"http://en.wikinews.org/wiki/Zoo_elephants_live_shorter_lives_than_their_wild_counterparts,_report_warns"
191,Freemasonry,the study,1273,1278,False,"http://en.wikinews.org/wiki/Zoo_elephants_live_shorter_lives_than_their_wild_counterparts,_report_warns"
192,Freemasonry,the study,1279,1286,False,"http://en.wikinews.org/wiki/Zoo_elephants_live_shorter_lives_than_their_wild_counterparts,_report_warns"
193,Freemasonry,the study,1287,1290,False,"http://en.wikinews.org/wiki/Zoo_elephants_live_shorter_lives_than_their_wild_counterparts,_report_warns"
194,Freemasonry,the study,1291,1294,False,"http://en.wikinews.org/wiki/Zoo_elephants_live_shorter_lives_than_their_wild_counterparts,_report_warns"
